name,company,year,Price,kms_driven,fuel_type_Diesel,fuel_type_LPG,fuel_type_Petrol
Hyundai Santro Xing,Hyundai,2007,80000,45000,0,0,1
Mahindra Jeep CL550,Mahindra,2006,425000,40,1,0,0
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Hyundai Grand i10,Hyundai,2014,325000,28000,0,0,1
Ford EcoSport Titanium,Ford,2014,575000,36000,1,0,0
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Ford Figo,Ford,2012,175000,41000,1,0,0
Hyundai Eon,Hyundai,2013,190000,25000,0,0,1
Ford EcoSport Ambiente,Ford,2016,830000,24530,1,0,0
Maruti Suzuki Alto,Maruti,2015,250000,60000,0,0,1
Skoda Fabia Classic,Skoda,2010,182000,60000,0,0,1
Maruti Suzuki Stingray,Maruti,2015,315000,30000,0,0,1
Hyundai Elite i20,Hyundai,2014,415000,32000,0,0,1
Mahindra Scorpio SLE,Mahindra,2015,320000,48660,1,0,0
Hyundai Santro Xing,Hyundai,2007,80000,45000,0,0,1
Mahindra Jeep CL550,Mahindra,2006,425000,40,1,0,0
Audi A8,Audi,2017,1000000,4000,0,0,1
Audi Q7,Audi,2014,500000,16934,1,0,0
Mahindra Scorpio S10,Mahindra,2016,350000,43000,1,0,0
Maruti Suzuki Alto,Maruti,2014,160000,35550,0,0,1
Mahindra Scorpio S10,Mahindra,2016,350000,43000,1,0,0
Mahindra Scorpio S10,Mahindra,2016,310000,39522,1,0,0
Maruti Suzuki Alto,Maruti,2015,75000,39000,0,0,1
Hyundai i20 Sportz,Hyundai,2012,100000,55000,0,0,1
Hyundai i20 Sportz,Hyundai,2012,100000,55000,0,0,1
Hyundai i20 Sportz,Hyundai,2012,100000,55000,0,0,1
Maruti Suzuki Alto,Maruti,2017,190000,72000,0,0,1
Maruti Suzuki Vitara,Maruti,2016,290000,15975,1,0,0
Maruti Suzuki Alto,Maruti,2008,95000,70000,0,0,1
Mahindra Bolero DI,Mahindra,2017,180000,23452,1,0,0
Maruti Suzuki Swift,Maruti,2014,385000,35522,1,0,0
Mahindra Scorpio S10,Mahindra,2015,250000,48508,1,0,0
Maruti Suzuki Swift,Maruti,2017,180000,15487,0,0,1
Maruti Suzuki Wagon,Maruti,2013,105000,39000,0,0,1
Maruti Suzuki Wagon,Maruti,2013,105000,39000,0,0,1
Toyota Innova 2.0,Toyota,2012,650000,82000,1,0,0
Renault Lodgy 85,Renault,2018,689999,20000,1,0,0
Skoda Yeti Ambition,Skoda,2012,448000,68000,1,0,0
Maruti Suzuki Baleno,Maruti,2017,549000,32000,1,0,0
Renault Duster 110,Renault,2012,501000,38000,1,0,0
Renault Duster 85,Renault,2013,489999,27000,1,0,0
Honda City 1.5,Honda,2011,280000,33000,0,0,1
Maruti Suzuki Alto,Maruti,2015,250000,60000,0,0,1
Maruti Suzuki Dzire,Maruti,2013,349999,46000,1,0,0
Honda Amaze,Honda,2013,284999,46000,1,0,0
Honda Amaze 1.5,Honda,2015,345000,36000,1,0,0
Honda City,Honda,2015,499999,55000,0,0,1
Datsun Redi GO,Datsun,2017,235000,16000,0,0,1
Maruti Suzuki SX4,Maruti,2010,249999,36000,0,0,1
Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,1,0,0
Mahindra Bolero DI,Mahindra,2017,180000,23452,1,0,0
Maruti Suzuki Swift,Maruti,2014,385000,35522,1,0,0
Mahindra Scorpio S10,Mahindra,2015,250000,48508,1,0,0
Maruti Suzuki Swift,Maruti,2017,180000,15487,0,0,1
Maruti Suzuki Wagon,Maruti,2013,105000,39000,0,0,1
Maruti Suzuki Wagon,Maruti,2013,105000,39000,0,0,1
Mahindra Scorpio S10,Mahindra,2015,395000,35000,1,0,0
Maruti Suzuki Swift,Maruti,2017,220000,30874,0,0,1
Honda City ZX,Honda,2017,170000,15000,1,0,0
Maruti Suzuki Wagon,Maruti,2013,85000,29685,0,0,1
Ford Figo,Ford,2012,175000,41000,1,0,0
Hyundai Eon,Hyundai,2013,190000,25000,0,0,1
Tata Indigo eCS,Tata,2017,200000,130000,1,0,0
Ford EcoSport Ambiente,Ford,2016,830000,24530,1,0,0
Tata Indigo eCS,Tata,2017,200000,130000,1,0,0
Mahindra Scorpio SLE,Mahindra,2012,570000,19000,1,0,0
Volkswagen Polo Highline,Volkswagen,2014,315000,60000,0,0,1
Skoda Fabia Classic,Skoda,2010,182000,60000,0,0,1
Maruti Suzuki Stingray,Maruti,2015,315000,30000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Chevrolet Spark LS,Chevrolet,2010,110000,41000,0,0,1
Renault Duster 110PS,Renault,2012,501000,35000,1,0,0
Honda City,Honda,2015,448999,54000,0,0,1
Mini Cooper S,Mini,2013,1891111,13000,0,0,1
Datsun Redi GO,Datsun,2017,235000,16000,0,0,1
Skoda Fabia 1.2L,Skoda,2011,159500,38200,1,0,0
Honda Amaze,Honda,2015,344999,22000,0,0,1
Honda Amaze,Honda,2015,344999,22000,0,0,1
Renault Duster,Renault,2014,449999,50000,1,0,0
Mini Cooper S,Mini,2013,1891111,13500,0,0,1
Mahindra Scorpio S4,Mahindra,2015,865000,30000,1,0,0
Mahindra Scorpio VLX,Mahindra,2014,699000,50000,1,0,0
Mahindra Quanto C8,Mahindra,2013,375000,20000,1,0,0
Ford EcoSport,Ford,2017,489999,39000,0,0,1
Honda Brio,Honda,2012,224999,30000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Volkswagen Vento Highline,Volkswagen,2019,1200000,3600,1,0,0
Hyundai i20 Magna,Hyundai,2009,195000,32000,0,0,1
Toyota Corolla Altis,Toyota,2010,351000,38000,1,0,0
Hyundai Verna Transform,Hyundai,2008,160000,45000,0,0,1
Toyota Corolla Altis,Toyota,2009,240000,35000,0,0,1
Honda City 1.5,Honda,2005,90000,50000,0,0,1
Hyundai Elite i20,Hyundai,2014,415000,32000,0,0,1
Skoda Fabia 1.2L,Skoda,2011,155000,45863,1,0,0
BMW 3 Series,BMW,2011,600000,60500,0,0,1
Maruti Suzuki A,Maruti,2011,189500,12500,0,0,1
Toyota Etios GD,Toyota,2013,350000,60000,1,0,0
Ford Figo Diesel,Ford,2012,210000,35000,1,0,0
Maruti Suzuki Swift,Maruti,2014,390000,35000,0,0,1
Chevrolet Beat LT,Chevrolet,2012,135000,45000,1,0,0
BMW 7 Series,BMW,2009,1600000,35000,0,0,1
Mahindra XUV500 W8,Mahindra,2013,701000,38000,1,0,0
Hyundai i10 Magna,Hyundai,2014,265000,18000,0,0,1
Hyundai Verna Fluidic,Hyundai,2015,525000,35000,1,0,0
Maruti Suzuki Swift,Maruti,2013,372000,13349,0,0,1
Maruti Suzuki Ertiga,Maruti,2016,635000,29000,0,0,1
Ford EcoSport Titanium,Ford,2014,550000,44000,1,0,0
Maruti Suzuki Ertiga,Maruti,2016,575000,29000,0,0,1
Maruti Suzuki Ertiga,Maruti,2013,485000,42000,1,0,0
Maruti Suzuki Alto,Maruti,2012,155000,14000,0,0,1
Hyundai Grand i10,Hyundai,2014,345000,49000,1,0,0
Honda Amaze 1.2,Honda,2014,325000,42000,0,0,1
Hyundai i20 Asta,Hyundai,2012,329500,36200,1,0,0
Ford Figo Diesel,Ford,2014,195000,50000,1,0,0
Maruti Suzuki Eeco,Maruti,2015,251111,55000,0,0,1
Maruti Suzuki Ertiga,Maruti,2014,569999,45000,0,0,1
Maruti Suzuki Esteem,Maruti,2007,69999,51000,0,0,1
Maruti Suzuki Ritz,Maruti,2014,299999,19000,0,0,1
Maruti Suzuki Dzire,Maruti,2009,220000,46000,0,0,1
Maruti Suzuki Ritz,Maruti,2013,399999,33000,1,0,0
Maruti Suzuki Swift,Maruti,2013,372000,13349,0,0,1
Maruti Suzuki Dzire,Maruti,2015,450000,104000,1,0,0
Toyota Etios Liva,Toyota,2014,270000,55000,0,0,1
Hyundai i20 Sportz,Hyundai,2011,350000,33333,1,0,0
Chevrolet Spark,Chevrolet,2012,158400,33600,0,0,1
Maruti Suzuki Alto,Maruti,2017,350000,5600,0,0,1
Nissan Micra XV,Nissan,2011,179000,41000,0,0,1
Maruti Suzuki Swift,Maruti,2007,125000,70000,0,0,1
Maruti Suzuki Alto,Maruti,2018,200000,7500,0,0,1
Honda Amaze 1.5,Honda,2013,299000,45000,1,0,0
Maruti Suzuki Alto,Maruti,2015,220000,38000,0,0,1
Chevrolet Beat,Chevrolet,2015,150000,30000,0,0,1
Honda City 1.5,Honda,2010,285000,35000,0,0,1
Ford EcoSport Trend,Ford,2016,830000,24330,1,0,0
Hyundai i20 Asta,Hyundai,2009,210000,65480,0,0,1
Maruti Suzuki Swift,Maruti,2013,340000,41000,0,0,1
Tata Indica V2,Tata,2006,90000,20000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Hindustan Motors Ambassador,Hindustan,2000,70000,200000,1,0,0
Toyota Corolla Altis,Toyota,2010,289999,70000,0,0,1
Toyota Corolla Altis,Toyota,2012,349999,59000,0,0,1
Toyota Innova 2.5,Toyota,2012,849999,99000,1,0,0
Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,1,0,0
Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,0,0,1
Volkswagen Polo,Volkswagen,2014,274999,32000,0,0,1
Mahindra Scorpio,Mahindra,2015,984999,22000,1,0,0
Renault Duster,Renault,2014,449999,50000,1,0,0
Honda Amaze,Honda,2015,344999,22000,0,0,1
Nissan Sunny,Nissan,2012,224999,45000,0,0,1
Hyundai Elite i20,Hyundai,2018,599999,21000,0,0,1
Renault Kwid,Renault,2016,244999,11000,0,0,1
Renault Duster,Renault,2013,399999,41000,1,0,0
Ford EcoSport,Ford,2017,489999,39000,0,0,1
Renault Duster,Renault,2014,474999,50000,1,0,0
Mahindra Scorpio VLX,Mahindra,2011,499999,66000,1,0,0
Maruti Suzuki Alto,Maruti,2018,310000,3000,0,0,1
Chevrolet Spark LT,Chevrolet,2010,85000,45000,0,0,1
Datsun Redi GO,Datsun,2016,245000,7000,0,0,1
Maruti Suzuki Swift,Maruti,2010,189500,38500,1,0,0
Fiat Punto Emotion,Fiat,2012,169500,37200,1,0,0
Maruti Suzuki Swift,Maruti,2010,159500,43200,1,0,0
Toyota Etios GD,Toyota,2013,275000,24800,0,0,1
Hyundai i20 Sportz,Hyundai,2014,370000,60000,1,0,0
Hyundai i10 Sportz,Hyundai,2010,168000,45872,0,0,1
Chevrolet Beat LT,Chevrolet,2011,150000,40000,1,0,0
Chevrolet Beat LS,Chevrolet,2011,145000,45000,1,0,0
Chevrolet Beat LT,Chevrolet,2012,98500,38000,1,0,0
Mahindra Scorpio VLX,Mahindra,2014,699000,50000,1,0,0
Tata Indigo CS,Tata,2011,85000,11400,1,0,0
Toyota Corolla Altis,Toyota,2015,575000,42000,0,0,1
Honda City 1.5,Honda,2014,549000,39000,0,0,1
Maruti Suzuki Swift,Maruti,2011,209000,47000,1,0,0
Hyundai Eon Era,Hyundai,2013,185000,27000,0,0,1
Mahindra Scorpio S10,Mahindra,2015,900000,97200,1,0,0
Mahindra XUV500,Mahindra,2014,699999,52000,1,0,0
Honda Brio,Honda,2012,224999,30000,0,0,1
Ford Fiesta,Ford,2011,274999,55000,1,0,0
Honda Amaze,Honda,2013,284999,46000,1,0,0
Honda City,Honda,2015,599999,30000,1,0,0
Maruti Suzuki Wagon,Maruti,2012,199999,44000,0,0,1
Honda City,Honda,2014,544999,45000,1,0,0
Hyundai i20,Hyundai,2009,199000,31000,0,0,1
Tata Indigo eCS,Tata,2016,320000,175430,1,0,0
Hyundai Fluidic Verna,Hyundai,2015,540000,38000,1,0,0
Mahindra Quanto C8,Mahindra,2013,340000,37000,1,0,0
Fiat Petra ELX,Fiat,2008,75000,65000,0,0,1
Skoda Fabia 1.2L,Skoda,2011,159500,38200,1,0,0
Mini Cooper S,Mini,2013,1891111,13000,0,0,1
Hyundai Santro Xing,Hyundai,2005,49000,7500,0,0,1
Maruti Suzuki Ciaz,Maruti,2016,700000,3350,0,0,1
Maruti Suzuki Zen,Maruti,2000,55000,60000,0,0,1
Honda City,Honda,2015,448999,54000,0,0,1
Hyundai Creta 1.6,Hyundai,2017,895000,32000,0,0,1
Mahindra Scorpio SLX,Mahindra,2007,355000,75000,1,0,0
Mahindra Scorpio SLE,Mahindra,2012,565000,62000,1,0,0
Toyota Innova 2.5,Toyota,2006,365000,73000,1,0,0
Maruti Suzuki Alto,Maruti,2011,145000,41000,0,0,1
Maruti Suzuki Wagon,Maruti,2011,210000,35000,0,0,1
Tata Nano Cx,Tata,2013,40000,2200,0,0,1
Maruti Suzuki Alto,Maruti,2013,125000,39000,0,0,1
Maruti Suzuki Wagon,Maruti,2009,135000,45000,0,0,1
Maruti Suzuki Swift,Maruti,2006,135000,45000,0,0,1
Tata Sumo Victa,Tata,2012,285000,65000,1,0,0
Maruti Suzuki Wagon,Maruti,2010,145000,54870,0,0,1
Maruti Suzuki Alto,Maruti,2010,135000,34580,0,0,1
Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,1,0,0
Renault Scala RxL,Renault,2015,375000,25000,1,0,0
Mahindra Quanto C8,Mahindra,2013,375000,20000,1,0,0
Hyundai Grand i10,Hyundai,2014,365000,20000,0,0,1
Hyundai i20 Active,Hyundai,2015,500000,18000,0,0,1
Mahindra Xylo E4,Mahindra,2012,400000,35000,1,0,0
Mahindra Jeep MM,Mahindra,2019,390000,60,1,0,0
Renault Duster 110PS,Renault,2012,501000,35000,1,0,0
Mahindra Bolero SLE,Mahindra,2013,330000,80200,1,0,0
Force Motors Force,Force,2015,580000,3200,1,0,0
Maruti Suzuki SX4,Maruti,2012,265000,46000,1,0,0
Mahindra Jeep CL550,Mahindra,2019,379000,0,1,0,0
Maruti Suzuki Alto,Maruti,2015,219000,5000,0,0,1
Mahindra Jeep CL550,Mahindra,2018,385000,588,1,0,0
Toyota Etios,Toyota,2011,275000,36000,1,0,0
Volkswagen Polo,Volkswagen,2015,330000,38000,1,0,0
Honda City ZX,Honda,2008,110000,45000,0,0,1
Maruti Suzuki Wagon,Maruti,2006,80000,71200,0,0,1
Honda City VX,Honda,2016,519000,52000,1,0,0
Mahindra Thar CRDe,Mahindra,2016,730000,29000,1,0,0
Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,1,0,0
Audi A4 1.8,Audi,2009,699000,47000,0,0,1
Mercedes Benz GLA,Mercedes,2015,2000000,20000,1,0,0
Land Rover Freelander,Land,2015,2100000,30000,1,0,0
Renault Kwid RXT,Renault,2017,340000,5000,0,0,1
Tata Aria Pleasure,Tata,2014,390000,35000,1,0,0
Mercedes Benz B,Mercedes,2014,1400000,31000,0,0,1
Datsun GO T,Datsun,2016,245000,7000,0,0,1
Tata Indigo eCS,Tata,2016,320000,175430,1,0,0
Tata Indigo eCS,Tata,2016,320000,175400,1,0,0
Honda Jazz VX,Honda,2016,450000,41000,0,0,1
Honda Amaze 1.2,Honda,2014,311000,33000,0,0,1
Honda Amaze,Honda,2013,284999,46000,1,0,0
Honda City,Honda,2012,399999,45000,0,0,1
Honda City,Honda,2015,599999,39000,1,0,0
Honda Amaze,Honda,2015,344999,22000,0,0,1
Audi A4 1.8,Audi,2009,699000,47000,0,0,1
Force Motors Force,Force,2015,580000,3200,1,0,0
Mahindra Scorpio S4,Mahindra,2015,855000,30000,1,0,0
Hyundai i20 Active,Hyundai,2015,535000,37000,1,0,0
Mini Cooper S,Mini,2013,1891111,13000,0,0,1
Maruti Suzuki Ciaz,Maruti,2017,699000,14000,0,0,1
Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,1,0,0
Honda Amaze,Honda,2013,284999,46000,1,0,0
Hyundai Eon Sportz,Hyundai,2012,178000,30000,0,0,1
Tata Sumo Gold,Tata,2013,300000,50000,1,0,0
Maruti Suzuki Wagon,Maruti,2003,90000,45000,0,0,1
Maruti Suzuki Esteem,Maruti,2006,95000,45000,0,0,1
Maruti Suzuki Eeco,Maruti,2015,255000,9300,0,0,1
Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,1,0,0
Hyundai i20 Asta,Hyundai,2012,329500,36200,1,0,0
Ford Figo Diesel,Ford,2014,195000,50000,1,0,0
Maruti Suzuki Eeco,Maruti,2015,251111,55000,0,0,1
Maruti Suzuki Ertiga,Maruti,2014,569999,45000,0,0,1
Maruti Suzuki Esteem,Maruti,2007,69999,51000,0,0,1
Maruti Suzuki Ritz,Maruti,2014,299999,19000,0,0,1
Maruti Suzuki Dzire,Maruti,2009,220000,46000,0,0,1
Maruti Suzuki Ritz,Maruti,2013,399999,33000,1,0,0
Maruti Suzuki SX4,Maruti,2010,249999,36000,0,0,1
Maruti Suzuki Wagon,Maruti,2015,289999,22000,0,0,1
Mini Cooper S,Mini,2013,1891111,13500,0,0,1
Nissan Terrano XL,Nissan,2015,499999,60000,1,0,0
Renault Duster 85,Renault,2013,489999,27000,1,0,0
Renault Duster 85,Renault,2014,489999,59000,1,0,0
Renault Duster 85,Renault,2015,549999,19000,1,0,0
Maruti Suzuki Dzire,Maruti,2013,380000,30000,0,0,1
Renault Kwid RXT,Renault,2018,325000,15000,0,0,1
Maruti Suzuki Maruti,Maruti,2003,57000,56758,0,0,1
Renault Kwid 1.0,Renault,2018,349999,10000,0,0,1
Renault Lodgy 85,Renault,2018,689999,20000,1,0,0
Renault Scala RxL,Renault,2014,349999,49000,1,0,0
Hyundai Grand i10,Hyundai,2014,410000,41000,0,0,1
Maruti Suzuki Swift,Maruti,2011,225000,45000,0,0,1
