name,company,year,Price,kms_driven,fuel_type_Diesel,fuel_type_LPG,fuel_type_Petrol
Maruti Suzuki Alto,Maruti,2017,280000,6200,0,0,1
BMW 5 Series,BMW,2009,650000,37518,0,0,1
Toyota Etios Liva,Toyota,2014,160000,24652,0,0,1
Mahindra Jeep MM,Mahindra,2004,424000,383,1,0,0
Chevrolet Beat LS,Chevrolet,2016,225000,95000,1,0,0
Chevrolet Cruze LTZ,Chevrolet,2011,350000,35000,1,0,0
Jeep Wrangler Unlimited,Jeep,2015,950000,3528,1,0,0
Maruti Suzuki Ertiga,Maruti,2013,485000,52500,1,0,0
Hyundai Verna VGT,Hyundai,2010,205000,47900,1,0,0
Maruti Suzuki Omni,Maruti,2012,160000,14000,0,0,1
Maruti Suzuki Celerio,Maruti,2018,310000,37000,0,0,1
Tata Zest Quadrajet,Tata,2017,180000,90000,1,0,0
Mahindra XUV500 W6,Mahindra,2013,549900,52800,1,0,0
Tata Indigo CS,Tata,2016,150000,104000,1,0,0
Hyundai i10 Era,Hyundai,2011,175000,30000,0,0,1
Tata Indigo eCS,Tata,2014,95000,195000,1,0,0
Tata Indigo LX,Tata,2016,230000,104000,1,0,0
Tata Indigo eCS,Tata,2016,230000,104000,1,0,0
Tata Indigo Marina,Tata,2004,180000,70000,1,0,0
Hyundai Xcent SX,Hyundai,2015,400000,43000,1,0,0
Hyundai Eon Magna,Hyundai,2013,185000,23000,0,0,1
Renault Duster 85,Renault,2015,385000,51000,1,0,0
Maruti Suzuki Alto,Maruti,2009,90000,62000,0,0,1
Tata Nano LX,Tata,2010,32000,48008,0,0,1
Renault Duster 110,Renault,2013,435000,39000,1,0,0
Maruti Suzuki Wagon,Maruti,2010,225000,40000,0,0,1
Maruti Suzuki Swift,Maruti,2006,189700,48247,0,0,1
Maruti Suzuki Ertiga,Maruti,2012,389700,39000,1,0,0
Maruti Suzuki Swift,Maruti,2014,365000,23000,0,0,1
Maruti Suzuki Alto,Maruti,2017,360000,9400,0,0,1
Hyundai i20 Magna,Hyundai,2010,210000,50000,0,0,1
Hyundai i10 Magna,Hyundai,2009,170000,75000,0,0,1
Tata Zest XE,Tata,2017,380000,70000,1,0,0
Mahindra Xylo E8,Mahindra,2009,295000,64000,1,0,0
Toyota Corolla Altis,Toyota,2010,185000,55000,0,0,1
Tata Manza Aqua,Tata,2014,160000,200000,1,0,0
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Renault Kwid 1.0,Renault,2018,290000,2137,0,0,1
Tata Venture EX,Tata,2013,100000,30000,1,0,0
Maruti Suzuki Swift,Maruti,2014,315000,44000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Skoda Octavia Classic,Skoda,2006,114990,65000,1,0,0
Maruti Suzuki Omni,Maruti,2012,120000,160000,0,1,0
Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,1,0,0
Tata Sumo Gold,Tata,2012,210000,75000,1,0,0
Hyundai Verna 1.6,Hyundai,2018,855000,42000,1,0,0
Tata Sumo Gold,Tata,2012,210000,75000,1,0,0
Mahindra Scorpio 2.6,Mahindra,2007,260000,56000,1,0,0
Maruti Suzuki Zen,Maruti,2002,95000,10544,0,0,1
Maruti Suzuki Swift,Maruti,2011,255000,64000,0,0,1
Mahindra Scorpio SLX,Mahindra,2008,300000,70000,1,0,0
Hyundai Grand i10,Hyundai,2014,340000,25000,0,0,1
Hyundai Elite i20,Hyundai,2017,550000,15000,0,0,1
Ford Ikon 1.6,Ford,2003,60000,50000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Toyota Innova 2.5,Toyota,2011,750000,147000,1,0,0
Nissan Sunny XL,Nissan,2011,230000,52000,0,0,1
Chevrolet Beat LT,Chevrolet,2012,130000,90001,1,0,0
Maruti Suzuki Alto,Maruti,2017,270000,21000,0,0,1
Maruti Suzuki Swift,Maruti,2012,280000,48006,1,0,0
Maruti Suzuki Swift,Maruti,2012,280000,48006,1,0,0
Maruti Suzuki Swift,Maruti,2012,280000,48006,1,0,0
Toyota Innova 2.0,Toyota,2012,600000,80000,1,0,0
Maruti Suzuki Swift,Maruti,2010,190000,74000,1,0,0
Hyundai Elite i20,Hyundai,2015,500000,22000,0,0,1
Mahindra XUV500 W10,Mahindra,2016,1065000,41000,1,0,0
Volkswagen Polo Trendline,Volkswagen,2015,350000,25000,1,0,0
Toyota Etios Liva,Toyota,2012,350000,85000,1,0,0
Mahindra TUV300 T4,Mahindra,2016,540000,29500,1,0,0
Hyundai Elite i20,Hyundai,2015,470000,30000,0,0,1
Hyundai Santro Xing,Hyundai,2014,179000,57000,0,0,1
Maruti Suzuki Zen,Maruti,2003,48000,60000,0,0,1
Maruti Suzuki Ciaz,Maruti,2016,650000,50000,0,0,1
Hyundai Eon Era,Hyundai,2013,190000,39700,0,0,1
Hyundai Elantra 1.8,Hyundai,2012,500000,65000,0,0,1
Maruti Suzuki Swift,Maruti,2010,270000,67000,1,0,0
Maruti Suzuki Zen,Maruti,2008,125000,46000,0,0,1
Hyundai Eon Era,Hyundai,2012,188000,38000,0,0,1
Hyundai Grand i10,Hyundai,2016,380000,27000,0,0,1
Hyundai Verna Fluidic,Hyundai,2011,365000,43000,1,0,0
Ford EcoSport Trend,Ford,2014,465000,47000,0,0,1
Hyundai i20 Magna,Hyundai,2011,240000,42000,0,0,1
Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,1,0,0
Tata Indica eV2,Tata,2015,140000,60105,1,0,0
Jaguar XF 2.2,Jaguar,2013,2190000,29000,1,0,0
Audi Q5 2.0,Audi,2014,2390000,34000,1,0,0
BMW 3 Series,BMW,2011,1075000,35000,1,0,0
Maruti Suzuki Swift,Maruti,2015,475000,22000,0,0,1
BMW X1 sDrive20d,BMW,2012,1025000,41000,1,0,0
Maruti Suzuki S,Maruti,2016,615000,21000,1,0,0
Maruti Suzuki Ertiga,Maruti,2013,475000,48000,1,0,0
Maruti Suzuki Alto,Maruti,2016,270000,38000,0,0,1
Honda City SV,Honda,2014,475000,34000,1,0,0
Volkswagen Vento Comfortline,Volkswagen,2011,240000,45933,0,0,1
Honda City 1.5,Honda,2005,120000,68000,0,0,1
Audi A4 2.0,Audi,2016,1900000,44000,1,0,0
Mahindra KUV100,Mahindra,2017,360000,35000,1,0,0
Tata Zest XE,Tata,2018,450000,102563,1,0,0
Mahindra XUV500 W8,Mahindra,2015,900000,28600,1,0,0
Maruti Suzuki Swift,Maruti,2017,650000,41800,1,0,0
Tata Sumo Gold,Tata,2014,275000,116000,1,0,0
Maruti Suzuki Swift,Maruti,2009,210000,59000,0,0,1
Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,1,0,0
Maruti Suzuki Omni,Maruti,2009,85000,45000,0,0,1
Mitsubishi Pajero Sport,Mitsubishi,2015,1490000,42590,1,0,0
Renault Duster,Renault,2014,800000,7400,1,0,0
Volkswagen Jetta Comfortline,Volkswagen,2009,450000,54500,1,0,0
Maruti Suzuki Ertiga,Maruti,2012,1000000,200000,1,0,0
Audi A4 2.0,Audi,2013,1510000,27000,1,0,0
Volvo S80 Summum,Volvo,2015,1850000,42000,1,0,0
Toyota Corolla Altis,Toyota,2014,790000,29000,0,0,1
Mitsubishi Pajero Sport,Mitsubishi,2015,1725000,37000,1,0,0
Chevrolet Beat LT,Chevrolet,2012,135000,36000,0,0,1
BMW X1,BMW,2011,1000000,34000,1,0,0
Datsun Redi GO,Datsun,2018,299999,7000,0,0,1
Mercedes Benz C,Mercedes,2009,1225000,76000,1,0,0
Mahindra Scorpio SLX,Mahindra,2004,175000,60000,1,0,0
Volkswagen Vento Comfortline,Volkswagen,2011,200000,95000,1,0,0
Tata Indigo CS,Tata,2017,270000,50000,1,0,0
Ford Figo Petrol,Ford,2019,525000,0,0,0,1
Honda City ZX,Honda,2006,180000,50000,0,0,1
Maruti Suzuki Wagon,Maruti,2008,140000,68000,0,0,1
Ford EcoSport Trend,Ford,2014,400000,16000,0,0,1
Maruti Suzuki Swift,Maruti,2016,499000,51000,1,0,0
Maruti Suzuki Omni,Maruti,2009,85000,56000,0,0,1
Maruti Suzuki Zen,Maruti,2004,70000,100000,0,0,1
Renault Duster RxL,Renault,2015,550000,36000,0,0,1
Maruti Suzuki Swift,Maruti,2014,370000,11523,0,0,1
Maruti Suzuki Baleno,Maruti,2018,690000,1000,0,0,1
Honda WR V,Honda,2009,250000,60000,0,0,1
Tata Indigo CS,Tata,2016,110000,85000,1,0,0
Renault Duster 110,Renault,2013,490000,38600,1,0,0
Mahindra Scorpio LX,Mahindra,2009,320000,95500,1,0,0
Maruti Suzuki Zen,Maruti,2004,68000,56000,0,0,1
Maruti Suzuki Wagon,Maruti,2014,130000,37458,0,0,1
Maruti Suzuki SX4,Maruti,2016,970000,85960,1,0,0
Audi A3 Cabriolet,Audi,2015,3100000,12516,0,0,1
Hyundai Eon D,Hyundai,2018,280000,35000,0,0,1
Maruti Suzuki Zen,Maruti,2009,125000,0,0,0,1
Mahindra Scorpio SLX,Mahindra,2008,285000,80000,1,0,0
Hyundai Santro AE,Hyundai,2011,165000,45000,0,0,1
Maruti Suzuki Swift,Maruti,2009,250000,51000,1,0,0
Mahindra Scorpio S4,Mahindra,2015,865000,30000,1,0,0
Mahindra Xylo D2,Mahindra,2011,390000,48000,1,0,0
Hyundai Santro,Hyundai,2003,60000,51000,0,0,1
Chevrolet Beat LT,Chevrolet,2015,215000,90000,1,0,0
Maruti Suzuki Swift,Maruti,2015,475000,43000,1,0,0
Mahindra XUV500 W8,Mahindra,2015,899000,53000,1,0,0
Toyota Fortuner 3.0,Toyota,2013,1499000,97000,1,0,0
Maruti Suzuki Alto,Maruti,2013,240000,20000,0,0,1
Hyundai Getz GLE,Hyundai,2007,99000,55000,0,0,1
Maruti Suzuki Swift,Maruti,2014,260000,120000,1,0,0
Hyundai Creta 1.6,Hyundai,2019,1200000,0,0,0,1
Hyundai Santro Xing,Hyundai,2007,115000,46000,0,0,1
Hyundai Santro Xing,Hyundai,2009,88000,43200,0,0,1
Mahindra Xylo D2,Mahindra,2011,390000,56000,1,0,0
Hyundai Santro Xing,Hyundai,2007,135000,42000,0,0,1
Tata Indica V2,Tata,2009,90000,30600,1,0,0
Hyundai i10 Sportz,Hyundai,2011,220000,38000,0,0,1
Hyundai Grand i10,Hyundai,2017,424999,2550,0,0,1
Hyundai Santro Xing,Hyundai,2007,135000,47000,0,0,1
Honda City 1.5,Honda,2005,95000,41000,0,0,1
Nissan Micra XL,Nissan,2017,430000,62500,1,0,0
Honda City 1.5,Honda,2005,115000,68000,0,0,1
Maruti Suzuki Alto,Maruti,2015,215000,50000,0,0,1
Maruti Suzuki Wagon,Maruti,2004,53000,69000,0,0,1
Maruti Suzuki Ertiga,Maruti,2012,500000,48000,1,0,0
Tata Indica eV2,Tata,2012,85000,55000,1,0,0
Maruti Suzuki Omni,Maruti,2013,165000,25000,0,0,1
Hyundai Eon Era,Hyundai,2014,200000,28400,0,0,1
Hyundai Eon,Hyundai,2014,200000,28000,0,0,1
Maruti Suzuki Swift,Maruti,2015,425000,42000,1,0,0
Hyundai Verna 1.6,Hyundai,2012,600000,29000,1,0,0
Chevrolet Tavera LS,Chevrolet,2005,130000,68485,1,0,0
Tata Tiago Revotron,Tata,2018,430000,3500,0,0,1
Tata Tiago Revotorq,Tata,2019,568500,0,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Maruti Suzuki Zen,Maruti,2006,71000,32000,0,0,1
Mahindra KUV100 K8,Mahindra,2018,560000,8000,1,0,0
Ford EcoSport Titanium,Ford,2014,590000,34000,1,0,0
Hindustan Motors Ambassador,Hindustan,1995,750000,37000,0,0,1
Ford Fusion 1.4,Ford,2007,125000,85455,1,0,0
Hyundai Santro Xing,Hyundai,2007,135000,46000,0,0,1
Hyundai Santro,Hyundai,2002,60000,47000,0,0,1
Fiat Linea Emotion,Fiat,2009,120000,64000,0,0,1
Ford Ikon 1.3,Ford,2008,95000,46000,0,0,1
Maruti Suzuki Omni,Maruti,2017,240000,8000,0,0,1
Tata Indica V2,Tata,2012,115000,64000,1,0,0
Mahindra Scorpio S4,Mahindra,2015,795000,63000,1,0,0
Hyundai Santro Xing,Hyundai,2007,55000,65000,0,0,1
Mahindra Xylo D2,Mahindra,2009,300000,62000,1,0,0
Hyundai Grand i10,Hyundai,2014,320000,41000,0,0,1
Maruti Suzuki Alto,Maruti,2015,265000,14000,0,0,1
Toyota Corolla,Toyota,2006,160000,40000,0,0,1
Hyundai Eon Magna,Hyundai,2017,300000,1600,0,0,1
Tata Sumo Grande,Tata,2010,130000,90000,1,0,0
Maruti Suzuki Swift,Maruti,2011,250000,58000,1,0,0
Volkswagen Polo Highline1.2L,Volkswagen,2013,380000,27000,0,0,1
Maruti Suzuki Alto,Maruti,2003,42000,60000,0,0,1
Tata Tiago Revotron,Tata,2017,400000,31000,0,0,1
Maruti Suzuki Swift,Maruti,2009,120000,90000,1,0,0
Maruti Suzuki Swift,Maruti,2009,120000,90000,1,0,0
Tata Indigo eCS,Tata,2016,130000,150000,1,0,0
Chevrolet Beat LS,Chevrolet,2014,189000,31000,1,0,0
Mahindra Xylo E8,Mahindra,2011,365000,43000,1,0,0
Hyundai Eon D,Hyundai,2013,170000,20000,0,0,1
Tata Sumo Gold,Tata,2013,215000,100000,0,0,1
Tata Nano,Tata,2013,60000,7000,0,0,1
Hyundai Elite i20,Hyundai,2017,599999,31000,0,0,1
Hyundai i10 Magna,Hyundai,2009,400000,33000,0,0,1
Hyundai Creta,Hyundai,2016,900000,60000,1,0,0
Volkswagen Polo,Volkswagen,2013,299999,48000,1,0,0
Maruti Suzuki Dzire,Maruti,2014,374999,33000,0,0,1
Tata Bolt XM,Tata,2015,600000,15000,0,0,1
Maruti Suzuki Alto,Maruti,2005,70000,47000,0,0,1
Maruti Suzuki Alto,Maruti,2005,100000,40000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Maruti Suzuki Ritz,Maruti,2010,150000,38000,1,0,0
Maruti Suzuki Alto,Maruti,2017,225000,12500,0,0,1
Maruti Suzuki Dzire,Maruti,2009,210000,42000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Hyundai i20 Asta,Hyundai,2014,425000,31000,0,0,1
Maruti Suzuki Swift,Maruti,2008,162000,60000,1,0,0
Tata Indica V2,Tata,2005,60000,80000,1,0,0
Mahindra Scorpio VLX,Mahindra,2014,650000,77000,1,0,0
Toyota Innova 2.5,Toyota,2012,750000,75000,1,0,0
Mahindra Xylo E8,Mahindra,2010,375000,40000,1,0,0
Hyundai i20 Magna,Hyundai,2011,230000,47000,0,0,1
Maruti Suzuki Omni,Maruti,2000,35999,60000,0,0,1
Mahindra KUV100,Mahindra,2016,380000,26500,0,0,1
Mahindra KUV100 K8,Mahindra,2019,560000,2875,0,0,1
Datsun Go Plus,Datsun,2016,285000,13900,0,0,1
Ford Endeavor 4x4,Ford,2019,2900000,9000,1,0,0
Tata Indica V2,Tata,2005,39999,80000,1,0,0
Hyundai Santro Xing,Hyundai,2006,85000,60000,0,0,1
Maruti Suzuki Wagon,Maruti,2016,395000,20000,0,0,1
Maruti Suzuki Swift,Maruti,2008,175000,58000,1,0,0
Maruti Suzuki Alto,Maruti,2019,400000,1500,0,0,1
Toyota Innova 2.5,Toyota,2011,750000,75000,1,0,0
Maruti Suzuki Alto,Maruti,2016,250000,2450,0,0,1
Maruti Suzuki Alto,Maruti,2019,425000,1625,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Volkswagen Polo Highline1.2L,Volkswagen,2017,525000,45000,0,0,1
Mahindra Logan,Mahindra,2009,130000,65000,1,0,0
Maruti Suzuki 800,Maruti,2000,30000,33400,0,0,1
Mahindra Scorpio,Mahindra,2011,475000,60123,1,0,0
Chevrolet Sail 1.2,Chevrolet,2013,300000,28000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Hyundai Santro AE,Hyundai,2003,60000,70000,0,0,1
Maruti Suzuki Wagon,Maruti,2006,100000,7000,0,0,1
Hyundai Eon,Hyundai,2018,260000,25000,0,0,1
Tata Manza,Tata,2015,100000,100000,1,0,0
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Toyota Etios G,Toyota,2013,265000,42000,0,0,1
Hyundai Getz Prime,Hyundai,2009,115000,20000,0,0,1
Toyota Qualis,Toyota,2003,180000,100000,1,0,0
Hyundai Santro Xing,Hyundai,2004,45000,137495,0,0,1
Tata Indica eV2,Tata,2016,50500,91200,1,0,0
Honda City 1.5,Honda,2009,270000,55000,0,0,1
Tata Zest XE,Tata,2017,290000,120000,1,0,0
Mahindra Quanto C4,Mahindra,2013,325000,63000,1,0,0
Tata Indigo eCS,Tata,2016,160000,104000,1,0,0
Maruti Suzuki Swift,Maruti,2016,350000,146000,1,0,0
Hyundai Elite i20,Hyundai,2011,290000,40000,0,0,1
Hyundai i20 Select,Hyundai,2011,290000,40000,0,0,1
Chevrolet Tavera Neo,Chevrolet,2007,465000,100800,1,0,0
Maruti Suzuki Dzire,Maruti,2016,325000,150000,1,0,0
Hyundai Elite i20,Hyundai,2018,510000,2100,0,0,1
Honda City VX,Honda,2016,860000,95000,0,0,1
Maruti Suzuki Dzire,Maruti,2016,450000,2500,1,0,0
Hyundai Getz,Hyundai,2006,125000,80000,0,0,1
Mercedes Benz C,Mercedes,2006,500001,15000,0,0,1
Maruti Suzuki Alto,Maruti,2005,95000,65000,0,0,1
Maruti Suzuki Swift,Maruti,2009,250000,51000,1,0,0
Skoda Fabia,Skoda,2009,110000,45000,0,0,1
Maruti Suzuki Swift,Maruti,2015,410960,45000,0,1,0
Maruti Suzuki Ritz,Maruti,2011,270000,50000,0,0,1
Tata Indica V2,Tata,2009,110000,30000,1,0,0
Toyota Corolla Altis,Toyota,2009,300000,132000,0,0,1
Tata Zest XM,Tata,2018,260000,27000,1,0,0
Mahindra Quanto C8,Mahindra,2013,390000,40000,1,0,0
